id,label,mail
0,0,"Subject: update on prc process
please read the attached memo from sally . we will discuss this in our staff
meeting this afternoon .
- - - - - - - - - - - - - - - - - - - - - - forwarded by brenda f herod / hou / ect on 07 / 11 / 2000
11 : 17 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
enron north america corp .
from : sally beck 07 / 07 / 2000 08 : 23 pm
to : kristin albrecht / hou / ect @ ect , scott earnest / hou / ect @ ect , sheila
glover / hou / ect @ ect , d todd hall / hou / ect @ ect , peggy hedstrom / cal / ect @ ect ,
brenda f herod / hou / ect @ ect , brent a price / hou / ect @ ect , leslie
reeves / hou / ect @ ect , stephen p schwarz / hou / ect @ ect , james
scribner / corp / enron @ enron , mary solmonson / hou / ect @ ect , sheri
thomas / hou / ect @ ect , shona wilson / na / enron @ enron , eugenio perez / hou / ect @ ect ,
steve jackson / hou / ect @ ect , susan harrison / hou / ect @ ect , robert
superty / hou / ect @ ect , michael e moscoso / hou / ect @ ect , steve
venturatos / hou / ect @ ect , scott mills / hou / ect @ ect , joel henenberg / na / enron @ enron
cc : sheila walton / hou / ect @ ect , norma villarreal / hou / ect @ ect , hector
mcloughlin / corp / enron @ enron
subject : update on prc process
today was the final ena prc . relative ranking results up through the senior
director level are final . you and your management team can begin the process
of giving performance reviews to your employees . i spoke with sheila walton
today to inquire about an expected time frame for completing and conducting
the employee reviews . she indicated that the target completion date should
be the end of july .
promotions will be effective august lst . it is dave delainey ' s intent to
announce ena promotions sometime after he returns from vacation on july 24 .
this drives the end of july target completion date for reviews . i do not
yet know if delainey wants all ena promotions to be announced in a single
memo , or if each group within ena will prepare such a memo . i will keep you
updated on this as i get direction from him .
please note the following change since our energy operations prc in june . in
order to place focus on the qualitative feedback during this mid - year review
process , we will not share performance clusters with employees when
conducting their reviews . it is very important for all of us to be
consistent in this process , so please communicate this to all in your groups
who will be giving performance reviews . it is important to note , however ,
that the content of an employee ' s review should be consistent with our view
of that employee ' s relative ranking . in other words , an employee in the
satisfactory category should not be given a review that simply states that
the employee is doing a great job . clearly , a large number of employees
performed at a higher level than those employees in the satisfactory
category , so the feedback to that employee should include some specific areas
of improvement needed in order for the employee to make a stronger impact in
the organization , help you achieve the groups goals , etc .
also please note the following :
performance reviews for anyone in the satisfactory , needs improvement or
issues categories must be reviewed by hr prior to these reviews being given
to the employees . this will ensure that our feedback is commensurate with
the relative performance of that employee . ( this has been the stated process
for the bottom two categories , and we are adding satisfactory to this process
as well . )
please remember to include a more experienced member of your management team ,
yourself , or an hr professional in reviews being conducted by inexperienced
members of your management team , or those management team members where you
have a concern over their ability or willingness to deliver candid and
perhaps tough performance feedback . i believe that we have spent some time
in identifying these situations . i ask your help to ensure that we follow
through on this commitment .
thanks for all of your efforts in making this mid - year prc process a
meaningful one .
it is dave delainey ' s intent to announce it if 0"
1,1,"Subject: via - gra pro will get you hard consumption
as you already saw , there is new , better via - gra
in the market . it is called via - gra pro , and it
is significally beter and has better influence like
you never imagined . enter now to expreience more .
finally alien dimension should be as complex as the city itself they ll rebuild stuff after a while .
tom hanks warren beatty annette bening and dustin hoffman all turned out at feinstein s in la for pal carole bayer sager new york daily news ny .
great site ! used this site to do an online class assignment very helpful can t wait to start teaching and have more time to browse .
lex kung mababaw lang tingin ko sa pagkakaibigan natin sasabihin ko friend mo siya ? hindi kita friend pero hindi .
celly hi just blog hopping to wish you a very lovely happy valentines day ! have fun take care xoxo celly .
please note nbsp links are to the webpages where these tracks are available - nbsp nbsp no audio files are linked directly or are hosted at .
my rss feed just passed along news of a critical update for windows xp when i clicked the link it took me to this page .
since professor milgram s work established the small world idea it has been tested a few times and there are signs of similar intimate interconnectedness in many physical systems .
with this useful tool you can now chat with all your friends across the globe why not make the most of it .
i ma huge fan of robin williams and tom hanks so they re both on my wish list quot says hooper quot i ve probably got a dozen more or so in there too quot biloxi sun herald ms .
showbiz like steven spielberg or tom hanks bruckheimer s name alone attracts interest for his projects the magazine said quot the newsday .
chorus and brass ensemble edward zelnis conductor will perform the annual holiday brass and choral concert .
will present a concert at the fortnightly club chicago illinois nbsp details available at a later date .
of all the pictures on this site im not on any of em shoot the camera in the right direction next time .
whatever you think the blues is - - get ready to hear it at its flat out best by this world leading blues guitarist .
"
2,0,"Subject: re : southern
darren :
i zeroed the path on deal 284599 , and left 4 , 500 pathed on 339604 at meter
4132 , and pathed 5 , 000 for both deals 341801 & 341808 at meter 67 for 7 / 24
only . i also notified betsy boring / southern about the situation and
explained to her that any deal they make on eol cannot be changed in any way ,
however we would move the gas for the 24 th only because we ok ' d the change
before we realized it was an eol deal ."
3,0,"Subject: hpl nom for sept . 22 , 2000
( see attached file : hplo 922 . xls )
- hplo 922 . xls"
4,1,"Subject: perform your best in bed
generic cialis soft tabs is the new impotence treatment
drug that everyone is talking about .
it has benefits over viagra and other ed treatment
solutions .
- can mix with alcohol with no side effects
- will not make you dizzy or blur your vision
- works in 15 min compared to 75 min for viagra
- lasts 36 hours compared to 2 hours for viagra
view it here : http : / / dumfounds . com / cs / ? bonsay
to stop : http : / / dumfounds . com / rm . php ? bonsay
"
5,0,"Subject: meter 5593
daren - canyou get a deal set up for meter 5593 for aug 00 ? there has been a
small amount of flow everyday . total flow for aug . 00 is 1 . 054 . last deal
ticket associated was 133169 for jul . 00 . let me know if you have any
questions .
al"
6,0,"Subject: meter 981594 - san jacinto low pressure del to defs
fyi -
duke energy field services will be reworking the wilcox plant on 9 / 26 f rom
7 am to 12 noon and will require that hpl shut - in the 20 m del . for that time
frame .
should you have any further questions , please call me at 35251 .
mary"
7,1,"Subject: cialis , xanax , valium , viagra at low price ! no prescription needed !
discount rx is simple , quick , and affordable !
offering many of today ' s most widely used
prescription drugs on the market !
ambien , viagra , xenical , valium , prozac , xanax and many more !
just click below for these special savings !
click here now !"
8,0,"Subject: hpl nom for march 24 - 26 , 2001
( see attached file : hplno 324 . xls )
- hplno 324 . xls"
9,1,"Subject: your women will be happy !
how does viagra professional work ?
viagra is a prescription drug used to treat erection difficulties , such as erectile
dysfunction ( ed ) . since it first became available in 1998 , the prescription drug viagra
has helped about 16 million men around the world to improve their sex lives . amazing ,
9 tablets are dispensed every second worldwide . and no other therapy or prescription
drug for erectile dysfunction has been studied as much or has the same amount of
real - world experience as viagra since its launch . it ' s no wonder more than 600 , 000 doctors
have chosen the prescription drug viagra for their patients with ed . fact is , when taken
correctly , viagra works for most men . studies show that it works for up to 4 out of 5 men
( versus 1 out of 4 on sugar pill ) . viagra improves erections for most men no matter how long
they have had ed , what caused it , how often they have it , or how old they are .
if this treatmentis not effective for you , we will refund you for every unopened pack . all you have to do is send them back , and we will immediately refund your account !
read more and order now
remove your email"
10,1,"Subject: refill notification ref : dfo - 102056072
refill notification ref : mp - 01408304990
dear paliourg @ iit . demokritos . gr ,
our automated system has identified that you most likely are ready to refill your recent online pharmaceutical order .
to help you get your needed supply , we have sent this reminder notice .
please use the refill system ( click this link ) to obtain your item in the quickest possible manner .
thank you for your time and we look forward to assisting you .
sincerely ,
garland guthrie
metro snapshot forborne unix pathology clause linguist bike chill ancestry
dominick vade plagiarist warehouse tempt conway southernmost spa pottery
cottrell adept vest corridor doug ineradicable confound senor protozoa apostolic dusenbury
isle idiocy bethlehem louise committee butyrate annoyance adventitious
archival columnar dot dressy colatitude labyrinth valiant neurosis
hanoverian elution bathos pedantic steven directrices grilled dignity
"
11,1,"Subject: important - pictures wil | ruin your marriage
qult
minnesota , which can clinch a wild - card
playoff spot with a loss by either carolina or st . louis this weekend , appeared on
its way to retaking the lead . but a holding penalty on birk - - the vikings were
flagged nine times for 78 yards - - wiped out a 16 - yard run by michael bennett that
would have given them the ball at the green bay 40 just before the 2 - minute warning .
the vikings ( 8 - 7 ) , though , couldn ' t
get what they needed from a pass defense that has struggled all season .
government spokesman raanan gissin
said four soldiers were killed .
six people were taken to hospital - -
four badly hurt , one with moderate injuries and one lightly injured , military
sources said .
the sources said another soldier
remained beneath the rubble .
gissin said rescue operations were
continuing sunday night .
the attack "" indicates that unless
there is decisive and sustained effort taken to dismantle the terrorist
organization , it will be impossible to move towards normalizations and towards
political negotiations , "" gissin told a news crew . "" and i think the
responsibility on that lies with the palestinian authority . ""
shortly after the first blast , a
second explosion was heard in southern gaza , but its precise location was not
immediately known .
hamas , in a phone call to cnn , said
it had set off the first explosion near rafah in cooperation with a group called
the fatah hawks .
there was no immediate information
available on that group , although it was believed to be linked to the fatah
movement formerly led by the late palestinian leader yasser arafat .
israeli military sources said it was
a coordinated attack , with palestinians firing mortar shells and guns at the
post when the explosives were detonated .
it was not clear whether there were
palestinian casualties .
news video of the aftermath showed
soldiers using stretchers to transport troops who appeared to be severely
wounded .
in a pamphlet distributed after the
attack , hamas said it had used 1 . 5 tons of explosives and had recorded video of
the incident .
palestinians have used tunnels in the
area to smuggle weapons from egypt . israel has carried out operations to crack
down on the smuggling . shell explosion in schoolyard
an israeli tank shell exploded in a
gaza schoolyard sunday morning , wounding eight palestinian schoolchildren ,
palestinian medical and security sources said .
the children between the ages of 6
and 12 - - sustained moderate to light injuries , the sources said .
the violence happened in khan yunis
in central gaza
israeli military sources said that
forces in the area identified what they thought was a number of mortar shells
being fired towards israeli settlements nearby .
in response , the forces fired towards
the positions with light weapons , but did not fire a tank shell , the military
sources said ."
12,0,"Subject: calpine daily gas nomination
>
>
julie , as i mention earlier we hope to start the unit this afternoon but
are still experiencing difficulties . i will keep you informed . thanks .
ricky a . archer
fuel supply
700 louisiana , suite 2700
houston , texas 77002
713 - 830 - 8659 direct
713 - 830 - 8722 fax
- calpine daily gas nomination 1 . doc
- calpine daily gas nomination 1 . doc"
13,0,"Subject: brandywine meter # : 981225 ; march , 2000 activity
there was no flow at meter 981225 for the month of march . the hms technician
did contact measurement once to get the volumes zeroed out but apparently he
will have to get with them again . i have notified the tech and he is in the
process of doing this .
the meter is set on pressure control and the valve is open . gas control ' s
understanding and the field ' s understanding is that at the time the
brandywine deal ended some sort of standby agreement was in place . if this
is not the case please let me know and we will notify the plant and close the
valve .
robert ,
in the future if you have meters like this where there is a small flow
volume without a nomination in place please check with earl and myself so we
can investigate before we get commercial involved .
thanks
gary h
- - - - - - - - - - - - - - - - - - - - - - forwarded by gary a hanks / hou / ect on 04 / 13 / 2000 12 : 35
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : lee l papayoti on 04 / 12 / 2000 05 : 38 pm
to : gary a hanks / hou / ect @ ect , james mckay / hou / ect @ ect
cc : robert e lloyd / hou / ect @ ect
subject : brandywine meter # : 981225 ; march , 2000 activity
how is this meter set up ? why would it have flowed in march ? any ideas ? is
it on pressure control ? if so , what ' s the set point ? i need to know before
i can go to oxy and / or dupont and make a claim . . . .
- - - - - - - - - - - - - - - - - - - - - - forwarded by lee l papayoti / hou / ect on 04 / 12 / 2000
05 : 37 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : robert e lloyd 04 / 12 / 2000 05 : 20 pm
to : lee l papayoti / hou / ect @ ect
cc : daren j farmer / hou / ect @ ect , pat clynes / corp / enron @ enron , rita
wynne / hou / ect @ ect , howard b camp / hou / ect @ ect
subject : brandywine meter # : 981225 ; march , 2000 activity
attached is support that indicate gas flowed on a zero nomination during the
month of march , 2000 .
there is no deal in place to allocate this gas flow .
please advise me how you want this activity allocated ."
